"ItemID","Stock Status","SKU","Date Updated"
"ADD 18-1B","IN STOCK","2DD18XXX-C0001B",11/18/2016
"ADD 18-2","IN STOCK","2DD18XXX-C00002",11/18/2016
"ADD 18-24BT18","IN STOCK","2DD18XXX-C24B18",11/18/2016
"ADD 18-4","IN STOCK","2DD18XXX-C00004",11/18/2016
"ADD 18-6","IN STOCK","2DD18XXX-C00006",11/18/2016
"ADD 18-613/12BT","IN STOCK","2DD18XXX-C61312",11/18/2016
"ADD 18-613HL24B","IN STOCK","2DD18XXX-C61324",11/18/2016
"ADD 18-BAMBOO","IN STOCK","2DD18XXX-C0BAMB",11/18/2016
"ADD 18-BLACK","IN STOCK","2DD18XXX-CBLACK",11/18/2016
"ADD 18-BLUSH","IN STOCK","2DD18XXX-CBLUSH",11/18/2016
"ADD 18-CARAMEL KISS","IN STOCK","2DD18XXX-CCAKSS",11/18/2016
"ADD 18-COCONUT CREAM","IN STOCK","2DD18XXX-CCCREM",11/18/2016
"ADD 18-DARK AUBURN","IN STOCK","2DD18XXX-CDKAUB",11/18/2016
"ADD 18-GINGER BROWN","IN STOCK","2DD18XXX-CGGBRN",11/18/2016
"ADD 18-HOT COCOA","IN STOCK","2DD18XXX-CHTCCA",11/18/2016
"ADD 18-ICED CHAMPAGN","IN STOCK","2DD18XXX-CCDHMP",11/18/2016
"ADD 18-KAHLUA","IN STOCK","2DD18XXX-CKAHLA",11/18/2016
"ADD 18-LT CHOCOLATE","IN STOCK","2DD18XXX-CLTCHC",11/18/2016
"ADD 18-MALIBU BLONDE","IN STOCK","2DD18XXX-CMBLND",11/18/2016
"ADD 18-RTD BAMBOO","IN STOCK","2DD18XXX-CRBAMB",11/18/2016
"ADD 18-RTD GOLD","IN STOCK","2DD18XXX-CR0GLD",11/18/2016
"ADD 18-RTD HOT COCOA","IN STOCK","2DD18XXX-CRHCCA",11/18/2016
"ADD 18-RTD MALIBU","IN STOCK","2DD18XXX-CRMALB",11/18/2016
"ADD 18-RTD ROUGE","LOW","2DD18XXX-CRRUGE",11/18/2016
"ADD 18-STRAWBRRY FRT","IN STOCK","2DD18XXX-CSFRST",11/18/2016
"ADD 18-T PLATINUM","IN STOCK","2DD18XXX-CTPLAT",11/18/2016
"ADD 18-WINEBERRY","IN STOCK","2DD18XXX-CWNBRY",11/18/2016
"ADD EDGE-BLUSH","IN STOCK","2DD3DG3X-CBLUSH",11/18/2016
"ADD EDGE-CINNAMON","LOW","2DD3DG3X-CCNAMN",11/18/2016
"ADD EDGE-ICED CHAMPA","IN STOCK","2DD3DG3X-CCDHMP",11/18/2016
"ADD EDGE-LT AUBURN","LOW","2DD3DG3X-CLTAUB",11/18/2016
"ADD FLAUNT-STRAWBRRY","IN STOCK","2DDF127N-CSFRST",11/18/2016
"ALEXA-MERINGUE","IN STOCK","213X2XXX-CMERNG",11/18/2016
"ALLY-130HL31","IN STOCK","211YXXXX-C13031",11/18/2016
"ALLY-131","IN STOCK","211YXXXX-C00131",11/18/2016
"AMALI-1","IN STOCK","2M215XXX-C00001",11/18/2016
"AMALI-12HL6","IN STOCK","2M215XXX-C12HL6",11/18/2016
"AMALI-12S28","IN STOCK","2M215XXX-C12S28",11/18/2016
"AMALI-1B","IN STOCK","2M215XXX-C0001B",11/18/2016
"AMALI-2","IN STOCK","2M215XXX-C00002",11/18/2016
"AMALI-24BT18","IN STOCK","2M215XXX-C24B18",11/18/2016
"AMALI-26T12","IN STOCK","2M215XXX-C26T12",11/18/2016
"AMALI-2832","IN STOCK","2M215XXX-C02832",11/18/2016
"AMALI-38S60B","IN STOCK","2M215XXX-C3860B",11/18/2016
"AMALI-4","IN STOCK","2M215XXX-C00004",11/18/2016
"AMALI-44S60","IN STOCK","2M215XXX-C44S60",11/18/2016
"AMALI-48S60","LOW","2M215XXX-C48S60",11/18/2016
"AMALI-6","IN STOCK","2M215XXX-C00006",11/18/2016
"AMALI-6/27","IN STOCK","2M215XXX-C00627",11/18/2016
"AMALI-60","IN STOCK","2M215XXX-C00060",11/18/2016
"AMALI-613/12BT","IN STOCK","2M215XXX-C61312",11/18/2016
"AMALI-BAMBOO","IN STOCK","2M215XXX-C0BAMB",11/18/2016
"AMALI-BLUSH","IN STOCK","2M215XXX-CBLUSH",11/18/2016
"AMALI-CARAMEL KISS","IN STOCK","2M215XXX-CCAKSS",11/18/2016
"AMALI-COCONUT CREAM","IN STOCK","2M215XXX-CCCREM",11/18/2016
"AMALI-COGNAC","IN STOCK","2M215XXX-CCGNAC",11/18/2016
"AMALI-DARK AUBURN","IN STOCK","2M215XXX-CDKAUB",11/18/2016
"AMALI-GINGER BROWN","IN STOCK","2M215XXX-CGGBRN",11/18/2016
"AMALI-HOT COCOA","IN STOCK","2M215XXX-CHTCCA",11/18/2016
"AMALI-KAHLUA","IN STOCK","2M215XXX-CKAHLA",11/18/2016
"AMALI-MALIBU BLONDE","IN STOCK","2M215XXX-CMBLND",11/18/2016
"AMALI-MINX","IN STOCK","2M215XXX-C00MNX",11/18/2016
"AMALI-PEARL MIST","IN STOCK","2M215XXX-CPLMST",11/18/2016
"AMALI-PUMPKIN SPICE","IN STOCK","2M215XXX-CPSPCE",11/18/2016
"AMALI-RTD BLONDE","IN STOCK","2M215XXX-CRBLND",11/18/2016
"AMALI-RTD CHAMPAGNE","IN STOCK","2M215XXX-CRCHPN",11/18/2016
"AMALI-RTD MALIBU","IN STOCK","2M215XXX-CRMALB",11/18/2016
"AMALI-RTD PLATINUM","IN STOCK","2M215XXX-CRPLAT",11/18/2016
"AMALI-RTD SAND STONE","OUT","2M215XXX-CRSNST",11/18/2016
"AMALI-RUSSETT","IN STOCK","2M215XXX-C0RSST",11/18/2016
"AMALI-SAFARI","IN STOCK","2M215XXX-CSAFAR",11/18/2016
"AMALI-SAND STONE","OUT","2M215XXX-CSDSTN",11/18/2016
"AMALI-SANGRIA","IN STOCK","2M215XXX-CSNGRA",11/18/2016
"AMALI-SILVERSTONE","IN STOCK","2M215XXX-CSVRSN",11/18/2016
"AMALI-STRWBRRY FROST","IN STOCK","2M215XXX-CSFRST",11/18/2016
"AMALI-SUNSET RED","IN STOCK","2M215XXX-CSNRED",11/18/2016
"AMALI-T PLATINUM","IN STOCK","2M215XXX-CTPLAT",11/18/2016
"AMALI-WARMTH","IN STOCK","2M215XXX-CWRMTH",11/18/2016
"AMALI-WINEBERRY","IN STOCK","2M215XXX-CWNBRY",11/18/2016
"AMANDA-18","LOW","2M2ND2XX-C00018",11/18/2016
"AMANDA-27","IN STOCK","2M2ND2XX-C00027",11/18/2016
"AMANDA-27T33B","IN STOCK","2M2ND2XX-C2733B",11/18/2016
"AMANDA-8","IN STOCK","2M2ND2XX-C00008",11/18/2016
"ANDIE-101","IN STOCK","2ND53XXX-C00101",11/18/2016
"ANDIE-12","IN STOCK","2ND53XXX-C00012",11/18/2016
"ANDIE-12HL6","IN STOCK","2ND53XXX-C12HL6",11/18/2016
"ANDIE-12S28","IN STOCK","2ND53XXX-C12S28",11/18/2016
"ANDIE-131","IN STOCK","2ND53XXX-C00131",11/18/2016
"ANDIE-14/24","IN STOCK","2ND53XXX-C01424",11/18/2016
"ANDIE-14HL8","IN STOCK","2ND53XXX-C14HL8",11/18/2016
"ANDIE-16/22","IN STOCK","2ND53XXX-C01622",11/18/2016
"ANDIE-16HL10","IN STOCK","2ND53XXX-C16H10",11/18/2016
"ANDIE-18/22","IN STOCK","2ND53XXX-C01822",11/18/2016
"ANDIE-1B","IN STOCK","2ND53XXX-C0001B",11/18/2016
"ANDIE-2","IN STOCK","2ND53XXX-C00002",11/18/2016
"ANDIE-24BT18","IN STOCK","2ND53XXX-C24B18",11/18/2016
"ANDIE-26T12","IN STOCK","2ND53XXX-C26T12",11/18/2016
"ANDIE-26T8","IN STOCK","2ND53XXX-C026T8",11/18/2016
"ANDIE-27","IN STOCK","2ND53XXX-C00027",11/18/2016
"ANDIE-30","IN STOCK","2ND53XXX-C00030",11/18/2016
"ANDIE-33","IN STOCK","2ND53XXX-C00033",11/18/2016
"ANDIE-4","IN STOCK","2ND53XXX-C00004",11/18/2016
"ANDIE-6","IN STOCK","2ND53XXX-C00006",11/18/2016
"ANDIE-6/28","IN STOCK","2ND53XXX-C00628",11/18/2016
"ANDIE-613HL24B","IN STOCK","2ND53XXX-C61324",11/18/2016
"ANDIE-613HL27","IN STOCK","2ND53XXX-C613H7",11/18/2016
"ANDIE-613T27","IN STOCK","2ND53XXX-C613T7",11/18/2016
"ANDIE-8","IN STOCK","2ND53XXX-C00008",11/18/2016
