Product Name,Keywords,Description,Type,Collection,Fiber,Cap Size,Handtied,Special Order
Add 18,"hair piece, cover up, crown",Add 18 is 18� of straight hair that is easy to style and part. Bangs and layers can be trimmed for your personal style. Add 18 will keep its shape with every use. �Great for adding extra volume to a thinning crown. Made of Naturlite - Tony of Beverly�s exclusive blend of certified synthetic fiber.,Hairpiece,,Naturlite - Tony of Beverly's Exclusive blend,N/A,N,Y
Amali,bob; full crown; ultimate fit cap,"AMALI will make you feel like you just stepped out of a high-end salon! A chin length bob with chipped ends and a great natural flow, the crown has a slight lift that holds the shagged layers just in place.",Wig,Ultimate Fit,Naturlite - Tony of Beverly's Exclusive blend,standard,N,Y
Andie,Capless wig. short flip.,Andie is a flipped with out all over curls.  Great everyday look.  Easy layered style. A Tony of Beverly Best Seller.,Wig,,Tony of Beverly Exclusive blend,standard,N,Y
Arden,"short, small mono crown","Precision cut, asymmetrical short, with a softly tapered nape.  Arden's versatile style can be worn spikey or smooth right out of the box.   Lightweight, easy care, chic fashion. Made with Naturlite, Tony of Beverly's exclusive blend of certified synthetic fiber. ",Wig,,Naturlite - Tony of Beverly's Exclusive blend,standard,N,Y
Ashlynn,ambient fiber; capless,,Wig,,Ambient - High heat fiber,standard,N,Y
Athena,Mono crown wig.  Mid length style.  Straight style.,Athena is a shoulder skimming do with up front layers.  A real show off with bangs.,Wig,,Tony of Beverly Exclusive blend,standard,Y partial,Y
Aubrey,Capless wig.  Short tapered style.,Aubrey a beautiful short style with blended layers that are paired with curved bangs and a lovely tapered nape. A Tony of Beverly Best Seller.,Wig,,Tony of Beverly Exclusive blend,standard,N,Y
Ava,"wig, full cap",Ava-amazingly simple and loaded with natural movement.  Balanced layers are easily combed in your desired direction.  Fun. Fringed. Flirty.  Easy to wear everyday,Wig,,Naturlite - Tony of Beverly's Exclusive blend,standard,N,Y
Avery,RTW lace front; mono-top,Avery - mid-length layers with side swept bangs. This is Hunter's twin with a ready-to-wear lace front but with a machine-made top. Now more can afford the look.,Wig,Ultimate Fit,Naturlite - Tony of Beverly's Exclusive blend,standard,N,Y
Bennett,Ready to wear lace front. Mono-top. 100% hand tied.,Ready to wear lace front mono top of relaxed flowing layers.  A long with amazing versatility and soft wispy bangs.  Dream length perfect...ready to wear lace front giving you the most natural hair line.  Mono-top giving you the most natural and versatile stylability...100% hand-tied giving you stretch and comfort in a lightweight long.,Wig,,Tony of Beverly Exclusive blend,standard,Y,Y
Beverly Hills,Full cap wig.  Mid length curls.,Beverly Hills is the best from the O.C. Collection at Tony of Beverly.  She is a classic mid-length with bouncy curls.,Wig,,Tony of Beverly Exclusive blend,standard,N,Y
